timestamp,type_id,cell_id,ssb_or_trs,carrier_index,ftl_snr_raw_0,ftl_snr_0,ftl_snr_raw_1,ftl_snr_1,ftl_snr_raw_2,ftl_snr_2,ftl_snr_raw_3,ftl_snr_3
2024-08-09 11:02:09.280927,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2029,2.96,1037,0.05,1404,1.37,763,-1.29
2024-08-09 11:02:09.312748,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2297,3.50,2625,4.07,1379,1.29,967,-0.25
2024-08-09 11:02:09.312749,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1602,1.94,2452,3.78,1076,0.22,722,-1.54
2024-08-09 11:02:09.332749,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2078,3.07,1051,0.11,1411,1.39,788,-1.15
2024-08-09 11:02:09.332750,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1801,2.45,2725,4.23,1012,-0.05,921,-0.46
2024-08-09 11:02:09.360924,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1886,2.65,2689,4.17,1068,0.18,872,-0.70
2024-08-09 11:02:09.360926,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2054,3.02,1055,0.13,1358,1.23,778,-1.21
2024-08-09 11:02:09.472751,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2374,3.64,2771,4.30,1039,0.06,888,-0.62
2024-08-09 11:02:09.472753,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1988,2.87,2955,4.58,1279,0.97,686,-1.76
2024-08-09 11:02:09.492748,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2138,3.19,1063,0.16,1352,1.21,779,-1.20
2024-08-09 11:02:09.492750,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1861,2.59,2431,3.74,1146,0.49,790,-1.14
2024-08-09 11:02:09.520923,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2383,3.65,2823,4.38,1407,1.38,807,-1.05
2024-08-09 11:02:09.520924,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2136,3.18,1062,0.16,1371,1.27,764,-1.29
2024-08-09 11:02:09.552748,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2492,3.85,3292,5.04,1508,1.68,775,-1.22
2024-08-09 11:02:09.552750,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2517,3.89,3013,4.66,1326,1.12,666,-1.89
2024-08-09 11:02:09.572751,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2142,3.20,1033,0.04,1306,1.06,746,-1.39
2024-08-09 11:02:09.572753,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,2229,3.37,2749,4.27,1342,1.18,747,-1.39
2024-08-09 11:02:09.632753,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,2100,3.11,1036,0.05,1308,1.07,750,-1.37
2024-08-09 11:02:09.632754,5G_NR_LL1_FW_Serving_FTL,351,SSB,0,1140,0.47,910,-0.52,2327,3.55,2413,3.71
2024-08-09 11:02:09.652748,5G_NR_LL1_FW_Serving_FTL,351,TRS,0,1360,1.23,711,-1.60,1085,0.25,2075,3.06
