timestamp,type_id,rank_index,wideband_cqi_cw0,wideband_cqi_cw1,single_wb_pmi,single_mb_pmi,carrier_index
2024-08-09 11:30:19.784142,LTE_PHY_PUSCH_CSF,Rank 1,10,0,2,0,PCC
2024-08-09 11:30:19.784142,LTE_PHY_PUSCH_CSF,Rank 1,11,0,0,0,SCC-2
2024-08-09 11:30:19.794142,LTE_PHY_PUSCH_CSF,Rank 1,10,0,1,0,PCC
2024-08-09 11:30:19.794142,LTE_PHY_PUSCH_CSF,Rank 1,11,0,0,0,SCC-2
2024-08-09 11:30:19.804141,LTE_PHY_PUSCH_CSF,Rank 1,12,0,3,0,PCC
2024-08-09 11:30:19.804141,LTE_PHY_PUSCH_CSF,Rank 1,11,0,2,0,SCC-2
2024-08-09 11:30:19.814141,LTE_PHY_PUSCH_CSF,Rank 1,12,0,3,0,PCC
2024-08-09 11:30:19.814141,LTE_PHY_PUSCH_CSF,Rank 2,8,7,0,0,SCC-2
2024-08-09 11:30:19.824147,LTE_PHY_PUSCH_CSF,Rank 2,9,7,0,0,PCC
2024-08-09 11:30:19.824147,LTE_PHY_PUSCH_CSF,Rank 2,8,8,0,0,SCC-2
2024-08-09 11:30:19.834030,LTE_PHY_PUSCH_CSF,Rank 2,9,8,0,0,PCC
2024-08-09 11:30:19.834030,LTE_PHY_PUSCH_CSF,Rank 2,9,9,0,0,SCC-2
2024-08-09 11:30:19.844145,LTE_PHY_PUSCH_CSF,Rank 2,8,8,0,0,PCC
2024-08-09 11:30:19.844145,LTE_PHY_PUSCH_CSF,Rank 2,9,10,0,0,SCC-2
2024-08-09 11:30:19.854141,LTE_PHY_PUSCH_CSF,Rank 1,9,0,1,0,PCC
2024-08-09 11:30:19.854141,LTE_PHY_PUSCH_CSF,Rank 1,11,0,2,0,SCC-2
2024-08-09 11:30:19.864144,LTE_PHY_PUSCH_CSF,Rank 2,5,7,0,0,PCC
2024-08-09 11:30:19.864144,LTE_PHY_PUSCH_CSF,Rank 1,12,0,2,0,SCC-2
2024-08-09 11:30:19.874145,LTE_PHY_PUSCH_CSF,Rank 2,7,8,1,0,PCC
